name,date,time,weight,bellyscore,feeding
L-105,1999-04-20,18:49,33,F,F
L-105,1999-04-22,18:40,32.3,F,
L-105,1999-04-23,10:38,31.1,N,
L-105,1999-04-23,18:32,35.8,B,F
L-105,1999-04-25,6:38,30.5,N,
L-105,1999-05-08,8:37,29.6,N,
L-105,1999-05-20,17:38,30.7,N,
L-105,1999-05-21,7:44,33.4,F,
L-105,1999-06-05,17:48,28.8,N,
L-105,1999-06-08,7:01,30.2,N,
L-105,1999-06-09,7:33,36,F,
L-105,1999-11-29,8:52,38.3,N,
L-105,1999-11-30,17:38,38.2,N,
L-105,1999-12-02,17:20,38,N,
L-105,1999-12-06,7:43,42.2,F,
L-105,1999-12-15,17:57,38.2,N,
L-105,1999-12-25,6:20,47.6,F to B,
L-105,1999-12-31,10:52,40,N,
L-105,2000-02-02,8:37,43.8,N,
L-105,2000-02-21,18:15,46.5,F,F
L-105,2000-03-16,17:01,45.2,N,
L-105,2000-09-05,9:38,53.3,N,
L-105,2000-09-08,9:10,55.7,N,
L-105,2000-10-04,9:12,52.2,N,
L-105,2000-10-22,7:30,56.4,N,
L-105,2000-10-22,7:51,57.7,N,F
L-105,2000-10-29,8:00,55.1,N,
L-105,2000-11-13,18:37,55.1,N to F,
L-105,2000-11-20,8:37,55,N to F,F
L-105,2000-11-22,18:07,54.3,N,
L-105,2000-12-02,18:19,60.3,F,
L-105,2000-12-10,7:56,59.3,F,
L-105,2001-07-15,7:37,56.1,N,
L-105,2001-08-02,7:04,57.5,F,
L-105,2001-09-14,18:34,56.8,N,
L-105,2001-09-25,17:24,56.9,N,
L-105,2001-10-08,0:00,53.8,N,
L-105,2001-10-13,8:31,62.3,F,
L-105,2001-10-30,18:54,62.4,F,
L-105,2001-11-02,18:02,62.8,F,
L-105,2001-11-07,9:22,60.6,F,
L-105,2001-11-07,18:43,59,F,
L-105,2001-11-21,9:09,61,F,
L-105,2001-11-22,7:18,60.7,F,
L-105,2001-11-23,9:31,64.1,F,
L-105,2001-11-24,17:10,62.6,N to F,
L-105,2001-11-25,17:46,58.2,N,
L-105,2001-11-26,11:17,56.8,N,
L-105,2001-11-26,11:44,60.5,F,F
L-105,2001-11-29,17:03,65.7,B,
L-105,2002-04-01,18:16,60.1,N to F,
L-105,2002-04-07,17:03,58.2,N to F,
L-105,2002-04-14,18:20,55.7,N,
L-105,2002-04-24,18:48,56.2,N,
L-105,2002-04-26,18:18,54.9,N,
L-105,2002-04-27,18:55,52.6,N,
L-105,2002-05-15,8:57,53,N,
L-105,2002-05-17,18:48,60.2,F,
L-105,2002-05-21,9:13,53.5,N,
L-105,2002-06-14,10:35,62,B,
L-105,2002-06-16,18:38,58.5,N to F,
L-105,2002-07-09,7:00,51.2,N,
L-105,2002-11-25,9:19,55.8,N,
L-105,2002-11-30,9:47,58,F,
L-105,2002-12-14,10:04,52.9,N,
L-105,2002-12-21,8:58,60.8,F to B,
L-105,2002-12-30,9:40,50.4,N,
L-105,2003-01-05,18:50,49.3,N,
L-105,2003-03-27,6:50,52.6,N,
L-105,2003-08-12,18:11,56.5,F,
L-105,2003-09-09,6:59,60.8,F to B,
L-105,2003-09-15,8:36,62.1,F,
L-105,2003-10-10,7:40,52.2,N,
L-105,2003-11-15,6:52,56.3,F,
L-105,2004-05-06,8:27,57.5,N to F,
L-105,2004-05-12,8:12,56.1,N,
L-105,2004-05-14,9:15,60.2,F,
L-105,2004-06-17,7:05,55.7,N,
L-105,2004-06-23,7:41,52.6,N,
L-105,2004-10-20,17:53,58,N to F,
L-105,2004-11-05,18:32,61,F,
L-105,2004-11-23,6:54,57.3,F,
L-105,2004-11-25,18:11,59.2,N to F,
L-105,2004-11-26,17:38,56,N,
L-105,2004-11-28,7:21,52.2,N,
L-105,2004-12-05,7:11,62.3,F,
L-105,2004-12-13,18:45,55.2,N,
L-105,2004-12-15,17:12,59.4,F,
L-105,2004-12-18,17:58,56.3,N to F,
L-105,2005-01-06,18:45,55.4,N,
L-105,2005-01-08,8:18,52.8,N,
L-105,2005-01-16,19:16,57.7,N to F,
L-105,2005-01-18,18:36,56.2,N,
L-105,2005-01-24,8:19,58.5,F,
L-105,2005-01-31,8:02,55.8,N,
L-106,1998-04-03,18:55,13.4,F,
L-106,1998-04-08,17:58,13.4,N,
L-106,1998-04-14,18:32,14,N,
L-106,1998-04-15,17:23,14,N,
L-106,1998-04-19,17:12,14.9,N,
L-106,1998-04-19,18:25,15.4,F,S
L-106,1998-04-29,18:48,15.7,N to F,
L-106,1998-05-03,16:47,15.2,N,
L-106,1998-05-04,8:38,15.3,N,
L-106,1998-05-06,16:55,15.5,N,
L-106,1998-05-08,17:54,15.5,N,
L-106,1998-05-09,16:39,15.6,N,
L-106,1998-05-10,16:09,15.8,N,
L-106,1998-05-11,16:35,15.6,N,
L-106,1998-05-12,15:19,15.9,N,
L-106,1998-05-13,15:35,16.6,N,
L-106,1998-05-14,8:00,16.8,N,
L-106,1998-05-14,9:40,16.9,N,S
L-106,1998-05-16,18:39,16,N,
L-106,1998-05-23,17:10,15.4,N,
L-106,1998-05-25,17:26,15,N,
L-106,1998-05-28,17:45,16.5,N,
L-106,1998-05-30,17:25,16.1,N,
L-106,1998-05-31,18:31,16,N,
L-106,1998-06-07,16:39,16.4,N,
L-106,1998-06-08,15:57,16.2,N,
L-106,1998-06-10,10:25,16.2,N,
L-106,1998-06-19,17:39,16.3,N,
L-106,1998-06-29,17:42,16.6,N,
L-106,1998-07-04,9:03,17.5,N,
L-106,1998-07-07,17:29,17,N,
L-106,1998-07-13,17:16,16.2,N,
L-106,1998-07-16,18:23,16.3,N,
L-106,1998-07-17,17:16,15.8,N,
L-106,1998-07-19,17:45,16.6,N,
L-106,1998-07-20,17:02,16.1,N,
L-106,1998-07-21,7:13,17.7,N,
L-106,1998-08-05,18:09,17.2,N,
L-106,1998-08-17,18:49,16.9,N,
L-106,1998-08-28,18:09,18,N to F,
L-106,1998-08-31,18:40,17.4,N,S
L-106,1998-09-03,17:19,17.8,N,
L-106,1998-09-17,18:10,20,N,
L-106,1998-09-18,17:33,19.2,N,
L-106,1998-09-20,18:00,18.7,N,
L-106,1998-10-20,8:57,20.3,N to F,
L-106,1998-12-05,17:46,19.7,N,
L-106,1999-04-04,17:15,29.6,N to F,
L-106,1999-04-16,18:27,31.9,F,
L-106,1999-04-20,18:52,34.2,F,F
