injuryID,date,time,ID,description,cause,bodypart,sizeincm,consequences,comments,observer
in_20190525_0701_M-296,2019-05-25,7:01,M-296,swollen RFL ankle,,RFL,,,,PN
in_20190613_0902_E-184,2019-06-13,9:02,E-184,limping with RHL,?,RHL,,limping but not very badly,,OH
in0848,2019-06-13,9:02,E-184,limping with RHL,?,RHL,,limping but not very badly,,OH
in0849,2019-06-13,9:50,T-169,warts on face,stress,face,,nothing,,PN
in0850,2019-06-14,7:12,A-510,lethargic,"disease, Streptococcus",body,,"moves only very slowly, does not play with other cubs",,OH
in0851,2019-06-17,11:15,A-435,swelling on one side of head,"disease, Streptococcus",head,,no visible effects/signs,,OH
in0852,2019-06-19,9:27,A-493,large swelling on head,"disease, Streptococcus",head,,moving slowly,,OH
in0853,2019-06-19,9:55,A-483,large swelling on head,"disease, Streptococcus",head,,moving slowly,,OH
in0854,2019-06-20,6:59,A-264,"cut above right eye, slightly swollen",?,right eye,,eye half closed,,OH
in0855,2019-06-20,15:55,A-355,start of swelling below throat,"disease, Streptococcus",head,,no visible effects/signs,,OH
in0856,2019-06-21,7:29,A-507,"with severe swelling, difficulties to breathe","disease, Streptococcus",head,,moving slowly,,OH
in_20190622_1021_A-483,2019-06-22,10:21,A-483,with burst Streptococcus swelling/abscess,"disease, Streptococcus",head,,,,OH
in_20190623_0714_F-191,2019-06-23,7:14,F-191,limping with LHL,?,LHL,,limping badly ,,PN
in0858,2019-06-23,10:25,A-355,swelling much larger,"disease, Streptococcus",head,,moving slowly,,OH
in0859,2019-06-24,11:36,T-116,large swelling on head,"disease, Streptococcus",head,,"moving slowly, skinny",,OH
in0860,2019-07-02,14:20,A-194,"Streptococcus swelling, not yet very large","disease, Streptococcus","head, below left lower jaw",,moving a bit slowly,,OH
in0861,2019-07-06,8:35,M-298,"large cut behind the right ear, limping with LHL",fight with other clan members?,"head, LHL",,moving slowly,,PN
in0862,2019-07-06,15:36,F-160,swelling on side of a head,"disease, Streptococcus",head,,moving slowly,,PN
in_20190708_1104_F-160,2019-07-08,11:04,F-160,"swelling on side of a head, very weak, walking slowly","disease, Streptococcus",head,,moving slowly,"vi_20190708_1145_A, vi_20190708_1630_A, vi_20190708_1631_A",PN
,2019-07-08,11:45,F-160,swelling on side of a head,"disease, Streptococcus",head,,moving slowly,"vi_20190708_1145_A, vi_20190708_1630_A, vi_20190708_1631_A",PN
in0863,2019-07-10,9:32,F-181,milky eye,?,right eye,,no visible effects/signs,,PN
in0864,2019-07-13,12:03,A-372,large swelling on head,"disease, Streptococcus",head,,moving slowly,,PN
in0865,2019-07-13,14:52,A-337,large swelling on head,"disease, Streptococcus",head,,moving slowly,vi_20190713_1453_A,PN
in0866,2019-07-14,9:46,F-146,large swelling on head,"disease, Streptococcus",head,,resting,,PN
in0867,2019-07-14,11:44,A-431,large swelling on head,"disease, Streptococcus",head,,remains resting ,,PN
in0868,2019-07-14,12:35,A-302,large swelling on head,"disease, Streptococcus",head,,"walking slowly, tired",,PN
in0869,2019-07-15,10:44,A-423,large scar/hole below the lower jaw,"disease, Streptococcus",neck,,weak,,PN
,2019-07-16,12:32,A-422,large puncture hole,lion?,neck,,"walking slowly, breathing badly, see Philemon's video and pictures",vi_20190716_1234_A,PN
,2019-07-16,12:41,A-431,large swelling on head,"disease, Streptococcus",head,,,,PN
in0870,2019-07-23,8:14,A-255,swelling on the right side of the neck,"disease, Streptococcus",neck/head,,no visible effects/signs,,PN
in0871,2019-07-24,10:11,A-441,open wound on the neck,"disease, Streptococcus",neck,,no visible effects/signs,,PN
in0872,2019-07-24,10:33,A-252,open wound below the neck,"disease, Streptococcus",neck/shoulder,,hardly breathing,,PN
in0873,2019-07-25,16:46,A-398,fresh wound on neck,"disease, Streptococcus",neck,,skinny,,PN
in0874,2019-08-02,6:50,N-211,scar on LHL,?,LHL,,no visible effects/signs,,PN
in0875,2019-08-15,9:47,A-302,protrusion on the neck,"disease, Streptococcus",neck,,no visible effects/signs,,PN
in0876,2019-08-15,10:07,A-436,scar on the right side of the neck,"disease, Streptococcus",neck,,"healing, no effects",,PN
in0877,2019-10-19,7:02,F-191,"no visible injury, just limping",tripped in a hole? ,LFL,,limping badly ,"no visible injury, but moving very gingerly on LFL / entirely avoiding putting pressure on it",AD
in0878,2019-10-21,8:07,M-298,"floppy, swollen ear",Aural hematoma,Right ear,,ear is swollen and floppy. No longer erect,,AD
in0879,2019-11-01,7:00,A-329,"limping LHL, no scar",hole?,LHL,,limping, ,AD
in0880,2019-11-09,6:37,M-483,paralysis in both rear legs and fresh wound on front/between the eyes,infanticide attempt by other hyena? ,"hindquarters, front between the eyes",,dragging self using two front legs; rear legs hanging behind and dragging along ground,,AD
