date,time,latitude,longitude,location,species,sequence,name,name2,focal_voc,other_sound,sequence_total,sequence_missed_start,sequence_missed_end,sequence_recorded,audioID,original_file,count_original_file,quality,context_behaviour,context_ecology,reply,comments,observer
1997-04-20,18:07,-3.18567,35.58500,lili,HYC,1,L-095,,WP,,6a,,,,,NA,,,,,n,l-014 who l in dh gu,
1997-04-20,19:05,-3.18567,35.58500,lili,HYC,1,L-094,,WP,,"4a, 1s, 2a, 2s, 3a, 1t",,,,,NA,,,,,n,,
1997-04-20,21:00,-3.18567,35.58500,lili,HYC,1,L-047,,WP,,9a,,,,,NA,,,while le den area,,n,,
1997-04-20,21:55,-3.18567,35.58500,lili,HYC,1,,,WP,,"9a, 1t",,,,,NA,,,while le den area,,n,,
1997-04-21,4:07,-3.18567,35.58500,lili,HYC,1,,l-088?,WP,,"4s, 4a",,,,,NA,,,,,n,,
1997-04-21,4:22,-3.18567,35.58500,lili,HYC,1,L-002,,WP,,"1a, 7s, 10a, 1s, 1a",,,,,NA,,,04:23 l-002 gets ch by li adf over 40m,,n,second li present,
1997-04-21,5:11,close to lili,,p,HYC,1,,,WP,,"10a, 1s, 1a",,,,,NA,,,,,n,,
1997-04-21,6:09,-3.18567,35.58500,lili,HYC,1,L-094,,WP,,10a,,,,,NA,,,"because l-010 ap, gn",,n,,
1997-04-21,6:21,-3.18567,35.58500,lili,HYC,1,L-047,,WP,,"2a, 3s, 2t",,,,,NA,,,,,n,while l 15m away from dhs,
1997-04-21,6:45,-3.18567,35.58500,lili,HYC,1,L-047,,WP,,"2a, 3s, 2a, 1t",,,,,NA,,,,,n,while l 10m away from dhs,
1997-04-21,19:19,-3.18567,35.58500,lili,HYC,1,L-095,,WP,,"8a, 1t",,,,,NA,,,,,n,,
1997-04-21,21:34,-3.18567,35.58500,lili,HYC,1,L-047,,WP,,"9a, 1t",,,,,NA,,,while l in periphery of den area,,n,,
1997-04-21,21:43,p of Lili den,,p,HYC,1,L-047,,WP,GN,6a,1a,none,5a,au_19970421_2143_L,Tape_N01,09:06,ok,while WA around in periphery,,n,quite far away,OH+BW
1997-04-21,21:58,-3.18567,35.58500,lili,HYC,1,L-047,,WP,,"7a, 1s, 1a, 1t",,,,,NA,,,,,n,,
