"ID","origin","destination","date"
"A-426","S","L",2017-06-12
"E-250","E","S",2017-06-12
"F-260","F","A",2017-06-12
"A-507","A","S",2017-07-12
"E-252","E","F",2017-07-12
"N-294","N","S",2017-07-12
"A-508","A","E",2017-08-12
"A-509","A","F",2017-09-12
"S-172","S","N",2017-09-12
"S-254","S","M",2017-09-12
"S-253","S","S",2017-09-12
"E-255","E","S",2017-10-12
"N-297","N","E",2017-10-12
"S-255","S","A",2017-10-12
"S-256","S","F",2017-10-12
"E-254","E","E",2017-10-12
"A-511","A","A",2017-11-12
"S-259","S","S",2017-12-12
"A-507","S","F",2018-01-12
"S-265","S","M",2018-01-12
"T-189","T","S",2018-01-12
"T-190","T","S",2018-01-12
"N-299","N","N",2018-01-12
"A-520","A","E",2018-02-12
"F-269","F","S",2018-02-12
"L-371","L","M",2018-02-12
"M-409","M","N",2018-02-12
"T-192","T","A",2018-02-12
"A-521","A","T",2018-03-12
"A-522","A","N",2018-03-12
"S-221","F","S",2018-04-12
"S-271","S","F",2018-04-12
"T-197","T","A",2018-04-12
"T-198","T","S",2018-04-12
"T-199","T","L",2018-04-12
"N-304","N","N",2018-04-12
"A-523","A","E",2018-05-12
"L-372","L","F",2018-05-12
"L-373","L","A",2018-05-12
"A-526","A","A",2018-05-12
"E-258","E","M",2018-06-12
"A-531","A","S",2018-07-12
"A-532","A","S",2018-07-12
"A-533","A","A",2018-07-12
"E-261","E","F",2018-08-12
"F-231","F","E",2018-08-12
"T-201","T","T",2018-08-12
"N-307","N","A",2018-09-12
"S-279","S","S",2018-09-12
"F-164","E","N",2018-10-12
"F-277","F","A",2018-10-12
"F-278","F","S",2018-10-12
"N-289","E","A",2018-10-12
"N-309","N","S",2018-10-12
"N-311","N","A",2018-10-12
"E-263","E","S",2018-11-12
"S-279","S","M",2018-11-12
"E-265","E","S",2018-12-12
"T-205","T","E",2018-12-12
"T-207","T","N",2018-12-12
"A-511","A","T",2019-01-12
"L-298","F","M",2019-01-12
"A-544","A","S",2019-02-12
"F-281","F","A",2019-02-12
"L-381","L","E",2019-02-12
"A-548","A","L",2019-03-12
"M-417","M","M",2019-03-12
"E-225","S","E",2019-04-12
"A-553","A","A",2019-04-12
"M-421","M","S",2019-05-12
"N-312","N","M",2019-05-12
"A-563","A","F",2019-06-12
"A-566","A","M",2019-06-12
"A-565","A","A",2019-06-12
"L-387","L","S",2019-07-12
"T-211","T","F",2019-07-12
"T-214","T","N",2019-08-12
"N-314","N","L",2019-09-12
"N-315","N","F",2019-09-12
"N-316","N","M",2019-09-12
"N-317","N","T",2019-09-12
"M-430","M","M",2019-10-12
"N-322","N","M",2019-11-12
"N-324","N","S",2019-11-12
"E-272","E","F",2019-12-12
"M-433","M","E",2020-01-12
"S-242","E","A",2020-01-12
"A-582","A","M",2020-02-12
"S-304","S","N",2020-03-12
"L-371","M","F",2020-04-12
"F-299","F","A",2020-05-12
"E-278","E","F",2020-07-12
